                  id                  |     name      
 b50f61a2-af74-40bc-8c17-957e162a6cb2 | SEMINOLE
 8b5388a9-f647-49e5-9359-6c6d612f0418 | SPALDING
 eb0ac716-a5a2-462f-8b06-ef9a64434c37 | STEPHENS
 bc09edfb-3895-402a-aae8-0558bcf075d3 | STEWART
 e24b0cd8-fd3d-405d-a551-992135dc0316 | SUMTER
 b0131930-210a-4fea-92f4-df0ea84f85fd | TALBOT
 7d11f866-2669-4c7a-b062-725aa64de6ea | TALIAFERRO
 f18cf650-b7b1-4e0e-ba95-e543ee8def4d | TATTNALL
 7d0eef41-2384-4574-9da9-365950ace1d0 | TAYLOR
 10d6951e-726e-4b04-be75-20b90bfe437e | TELFAIR
 6bf2fc4a-887c-42d7-8037-79a75174a9a5 | TERRELL
 05250da4-6a43-46f5-9a2f-4e9d22e2d91d | THOMAS
 2dc17647-2abc-48ad-8aa0-7c6056f19d11 | TIFT
 22840993-1d6f-4cd2-baba-e67b0588880c | TOOMBS
 58b34e2b-c594-43d4-8387-bba141965b6d | TOWNS
 8f9f5b77-7ec0-43ef-9c20-1aa11623a320 | TREUTLEN
 ef6b3613-7ae8-4224-ba01-79bdd1d2d566 | TROUP
 628f213e-edd5-4ea8-a33c-61f3ebdb9fcb | TURNER
 de48ddf4-90b5-4a68-a832-e5fce5dd02b2 | TWIGGS
 57b77afe-a947-4f37-8187-056246bd4b8d | UNION
 521c55d7-7adc-4a3a-a4d3-5f428d540c97 | UPSON
 bf0f5842-4510-4bcc-99a1-fa75067ca911 | WALKER
 62b73978-5edf-4db1-a36d-1941eda6c1ec | WALTON
 5158e3fe-5132-4770-8661-bea0f6f8456a | WARE
 08a6a74a-9cd6-4d68-a630-33450e7870fd | WARREN
 a18357dc-ba1a-495b-9c88-56eea13967ab | WASHINGTON
 64668f0d-8f67-4e0f-a1cb-bbc404d78142 | WAYNE
 9d7e2632-2c56-4907-a86b-1e1c33b846d9 | WEBSTER
 f691f3a0-bda4-4f03-95b5-429351dd42e6 | WHEELER
 d3ba7c0b-4466-4097-9ff8-c4e95ce5d436 | WHITE
 4ae1aef1-0300-4b9d-86ff-9e9fcd9f9e69 | WHITFIELD
 862dd5c7-f5c5-43aa-83cb-d0d94a4d5d2f | WILCOX
 634dd94e-49d9-4f3a-b8d2-6e2a77d19d8a | WILKES
 565281a5-36c5-4927-a28e-83caf4b5802f | WILKINSON
 52be5975-0c3e-4ecb-b543-ddfe0f3565ae | WORTH
(159 rows)

