Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC-Absentee By Mail 3 - 56,10,13,0
ICC-Absentee By Mail 3 - 57,24,25,0
ICC-Absentee By Mail 7 - 75,18,29,1
ICC-Absentee By Mail 7 - 76,11,36,1
ICC-Absentee By Mail 3 - 58,14,36,0
ICC-Absentee By Mail 7 - 77,12,31,0
ICC-Absentee By Mail 7 - 78,8,14,0
ICC-Absentee By Mail 7 - 79,7,43,0
ICC-Absentee By Mail 3 - 59,23,31,1
ICC-Absentee By Mail 7 - 80,21,28,0
ICC-Absentee By Mail 3 - 60,15,18,0
ICC-Absentee By Mail 3 - 61,2,1,0
ICC-Absentee By Mail 7 - 81,10,10,0
ICC-Absentee By Mail 3 - 62,7,11,2
ICC-Absentee By Mail 7 - 82,17,30,2
ICC-Absentee By Mail 7 - 83,23,24,3
ICC-Absentee By Mail 3 - 63,23,25,2
ICC-Absentee By Mail 7 - 84,20,30,0
ICC-Absentee By Mail 7 - 85,18,32,0
ICC-Absentee By Mail 7 - 86,14,35,0
ICC-Absentee By Mail 7 - 87,14,17,0
ICC-Absentee By Mail 7 - 88,17,31,2
ICC-Absentee By Mail 7 - 89,25,24,1
ICC-Absentee By Mail 7 - 90,16,33,1
ICC-Absentee By Mail 7 - 91,16,14,0
ICC-Absentee By Mail 7 - 92,0,3,0
ICC-Absentee By Mail 7 - 93,10,11,0
ICC-Absentee By Mail 7 - 94,21,29,0
ICC-Absentee By Mail 7 - 95,22,28,0
ICC-Absentee By Mail 7 - 96,19,30,0
ICC-Absentee By Mail 7 - 97,2,6,0
ICC-Absentee By Mail 7 - 98,24,26,0
ICC-Absentee By Mail 7 - 99,17,32,1
ICC-Absentee By Mail 7 - 100,8,11,2
ICC-Absentee By Mail 7 - 101,15,16,1
ICC-Absentee By Mail 7 - 102,14,15,0
ICC-Absentee By Mail 7 - 103,6,6,0
ICC-Absentee By Mail 7 - 104,24,23,3
ICC-Absentee By Mail 7 - 105,8,8,0
ICC-Absentee By Mail 7 - 106,3,14,0
ICC-Absentee By Mail 7 - 107,25,24,1
ICC-Absentee By Mail 7 - 108,5,10,0
ICC-Absentee By Mail 7 - 109,1,3,0
ICC-Absentee By Mail 7 - 110,8,9,0
ICC-Absentee By Mail 3 - 64,1,8,0
ICC-Absentee By Mail 7 - 111,1,10,0
ICC-Absentee By Mail 3 - 65,7,7,2
ICC-Absentee By Mail 7 - 112,7,9,1
ICC-Absentee By Mail 3 - 66,6,10,0
ICC-Absentee By Mail 3 - 67,6,10,0
ICC-Absentee By Mail 7 - 113,18,30,1
ICC-Absentee By Mail 3 - 68,0,9,0
ICC-Absentee By Mail 7 - 114,5,8,0
ICC-Absentee By Mail 3 - 69,8,12,0
ICC-Absentee By Mail 7 - 115,21,21,0
ICC-Absentee By Mail 7 - 116,7,7,0
ICC-Absentee By Mail 3 - 70,21,28,1
ICC-Absentee By Mail 3 - 71,1,5,0
ICC-Absentee By Mail 7 - 117,7,5,0
ICC-Absentee By Mail 3 - 72,5,7,0
ICC-Absentee By Mail 7 - 118,5,14,0
ICC-Absentee By Mail 7 - 119,10,10,0
ICC-Absentee By Mail 3 - 73,21,26,3
ICC-Absentee By Mail 7 - 120,9,23,0
ICC-Absentee By Mail 3 - 74,15,34,0
ICC-Absentee By Mail 7 - 121,18,32,0
ICC-Absentee By Mail 3 - 75,14,28,1
ICC-Absentee By Mail 7 - 122,15,35,0
ICC-Absentee By Mail 3 - 76,13,37,0
