Container,Batch Name,Number of Ballots
Absentee by Mail,ICC 1 - Absentee By Mail - 140,15
Advanced Voting,AV-Elections Main Office ICP 2 - 0,3957
Absentee by Mail,ICC 1 - Absentee By Mail - 141,15
Absentee by Mail,ICC 1 - Absentee By Mail - 142,15
Advanced Voting,AV-So Clayton Rec Center ICP - 0,7205
Election Day,ED-Morrow 11 ICP 1 - 0,344
Election Day,ED-Morrow 9 ICP 1 - 0,198
Election Day,ED-Forest Park 6 ICP 1 - 0,224
Election Day,ED-Jonesboro 16 ICP 1 - 0,458
Election Day,ED-Jonesboro 2 ICP 1 - 0,282
Election Day,ED-Jonesboro 10 ICP 1 - 0,459
Election Day,ED-Forest Park 3 ICP 1 - 0,301
Election Day,ED-Morrow 8 ICP 1 - 0,449
Election Day,ED-Lovejoy 1 ICP 1 - 0,836
Election Day,ED-Jonesboro 8 ICP 1 - 0,594
Election Day,ED-Jonesboro 19 ICP 1 - 0,479
Election Day,ED-Riverdale 12 ICP 1 - 0,489
Election Day,ED-Morrow 6 ICP 1 - 0,471
Election Day,ED-Oak 5 ICP 1 - 0,196
Election Day,ED-Lake City ICP 1 - 0,386
Election Day,ED-Riverdale 7 ICP 1 - 0,393
Election Day,ED-Jonesboro 9 ICP 1 - 0,216
Election Day,ED-Panhandle 2 ICP 1 - 0,840
Election Day,ED-Jonesboro 4 ICP 1 - 0,359
Election Day,ED-Morrow 5 ICP 1 - 0,466
Election Day,ED-Morrow 1 ICP 1 - 0,549
Election Day,ED-Jonesboro 7 ICP 1 - 0,497
Election Day,ED-Jonesboro 14 ICP 1 - 0,811
Election Day,ED-Jonesboro 3 ICP 1 - 0,244
Election Day,ED-Riverdale 1 ICP 1 - 0,350
Election Day,ED-Lovejoy 8 ICP 1 - 0,190
Election Day,ED-Jonesboro 11 ICP 1 - 0,413
Election Day,ED-Jonesboro 21 ICP 1 - 0,503
Election Day,ED-Jonesboro 13 ICP 1 - 0,543
Election Day,ED-Jonesboro 17 ICP 1 - 0,546
Election Day,ED-Morrow 3 ICP 1 - 0,369
Election Day,ED-Morrow 10 ICP 1 - 0,335
Election Day,ED-Panhandle 1 ICP 1 - 0,594
Election Day,ED-Oak 3 ICP 1 - 0,382
Election Day,ED-Riverdale 5 ICP 1 - 0,467
Election Day,ED-Riverdale 11 ICP 1 - 0,326
Election Day,ED-Oak 1 ICP 1 - 0,364
Election Day,ED-Riverdale 10 ICP 1 - 0,333
Election Day,ED-Morrow 2 ICP 1 - 0,336
Election Day,ED-Lovejoy 3 ICP 1 - 0,321
Election Day,ED-Forest Park 1 ICP 1 - 0,383
Election Day,ED-Forest Park 4 ICP 1 - 0,259
Election Day,ED-Jonesboro 5 ICP 1 - 0,433
Election Day,ED-Jonesboro 12 ICP 1 - 0,465
Election Day,ED-Jonesboro 6 ICP 1 - 0,556
Election Day,ED-Riverdale 4 ICP 1 - 0,559
Election Day,ED-Riverdale 9 ICP 1 - 0,440
Election Day,ED-Morrow 7 ICP 1 - 0,347
Election Day,ED-Ellenwood 1 ICP 1 - 0,415
Election Day,ED-Oak 2 ICP 1 - 0,291
Election Day,ED-Oak 4 ICP 1 - 0,471
Election Day,ED-Lovejoy 7 ICP 1 - 0,547
Election Day,ED-Riverdale 3 ICP 1 - 0,577
Election Day,ED-Ellenwood 2 ICP 1 - 0,550
Election Day,ED-Oak 6 ICP 1 - 0,182
Election Day,ED-Lovejoy 6 ICP 1 - 0,584
Election Day,ED-Morrow 4 ICP 1 - 0,353
Election Day,ED-Riverdale 8 ICP 1 - 0,512
Election Day,ED-Lovejoy 4 ICP 1 - 0,395
Election Day,ED-Riverdale 6 ICP 1 - 0,483
Election Day,ED-Jonesboro 22 ICP 1 - 0,243
Election Day,ED-Jonesboro 18 ICP 1 - 0,552
Election Day,ED-Lovejoy 2 ICP 1 - 0,461
Election Day,ED-Jonesboro 15 ICP 1 - 0,347
Election Day,ED-Riverdale 2 ICP 1 - 0,512
Election Day,ED-Forest Park 5 ICP 1 - 0,496
Election Day,ED-Forest Park 2 ICP 1 - 0,409
Election Day,ED-Jonesboro 1 ICP 1 - 0,524
Election Day,ED-Jonesboro 20 ICP 1 - 0,384
Election Day,ED-Lovejoy 5 ICP 1 - 0,499
Absentee by Mail,ICC 1 - Absentee By Mail - 143,9
Absentee by Mail,ICC 1 - Absentee By Mail - 144,2
Provisional,ICC - Provisional - 1,9
Provisional,ICC - Provisional - 2,10
Provisional,ICC - Provisional - 3,10
Provisional,ICC - Provisional - 4,10
Provisional,ICC - Provisional - 5,9
Provisional,ICC - Provisional - 6,2
