Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail - 174,11,13,1
ICC - Absentee by Mail 2 - 69,16,8,0
ICC - Absentee By Mail - 175,16,7,2
ICC - Absentee By Mail - 176,11,13,1
ICC - Absentee by Mail 2 - 70,16,9,0
ICC - Absentee By Mail - 177,11,11,3
ICC - Absentee by Mail 2 - 71,10,15,0
ICC - Absentee By Mail - 178,16,8,0
ICC - Absentee By Mail - 179,16,9,0
ICC - Absentee by Mail 2 - 72,10,13,1
ICC - Absentee by Mail 2 - 73,13,11,1
ICC - Absentee By Mail - 180,12,13,0
ICC - Absentee By Mail - 181,9,16,0
ICC - Absentee by Mail 2 - 74,15,8,2
ICC - Absentee by Mail 2 - 75,15,10,0
ICC - Absentee by Mail 2 - 76,3,18,2
ICC - Absentee By Mail - 182,16,7,0
ICC - Absentee by Mail 2 - 77,8,16,0
ICC - Absentee By Mail - 183,16,7,1
ICC - Absentee By Mail - 184,12,11,0
ICC - Absentee By Mail - 185,17,8,0
ICC - Absentee By Mail - 186,9,14,0
ICC - Absentee By Mail - 187,17,8,0
ICC - Absentee By Mail - 188,10,14,1
ICC - Absentee By Mail - 189,10,15,0
ICC - Absentee By Mail - 190,11,14,0
ICC - Absentee By Mail - 191,16,9,0
ICC - Absentee By Mail - 192,13,10,1
ICC - Absentee By Mail - 193,12,12,1
ICC - Absentee By Mail - 194,13,10,2
ICC - Absentee By Mail - 195,7,13,2
ICC - Absentee By Mail - 196,17,7,1
ICC - Absentee by Mail 2 - 78,15,10,0
ICC - Absentee by Mail 2 - 79,8,17,0
ICC - Absentee By Mail - 197,11,13,0
ICC - Absentee by Mail 2 - 80,14,10,1
ICC - Absentee By Mail - 198,9,14,1
ICC - Absentee by Mail 2 - 81,12,12,0
ICC - Absentee By Mail - 199,18,7,0
ICC - Absentee by Mail 2 - 82,13,11,0
ICC - Absentee by Mail 2 - 83,15,9,0
ICC - Absentee By Mail - 200,15,10,0
ICC - Absentee by Mail 2 - 84,16,7,2
ICC - Absentee By Mail - 201,20,5,0
ICC - Absentee by Mail 2 - 85,15,9,0
ICC - Absentee By Mail - 202,11,13,1
ICC - Absentee by Mail 2 - 86,14,10,1
ICC - Absentee By Mail - 203,16,8,0
ICC - Absentee by Mail 2 - 87,13,12,0
ICC - Absentee By Mail - 204,15,10,0
ICC - Absentee by Mail 2 - 88,17,8,0
ICC - Absentee by Mail 2 - 89,14,11,0
ICC - Absentee By Mail - 205,14,10,1
ICC - Absentee by Mail 2 - 90,15,8,0
ICC - So Cherokee Rec Center - 1,40,11,0
ICC - So Cherokee Rec Center - 2,29,6,1
ICC - So Cherokee Rec Center - 3,39,15,2
ICC - So Cherokee Rec Center - 4,30,19,2
ICC - So Cherokee Rec Center - 5,18,11,1
ICC - So Cherokee Rec Center - 6,13,4,0
ICC - So Cherokee Rec Center - 7,18,11,0
ICC - So Cherokee Rec Center - 8,5,7,0
ICC - So Cherokee Rec Center - 9,16,7,1
ICC - So Cherokee Rec Center - 10,14,9,0
ICC - So Cherokee Rec Center - 11,19,13,1
ICC - So Cherokee Rec Center - 12,22,10,0
ICC - So Cherokee Rec Center - 13,20,11,0
ICC - So Cherokee Rec Center - 14,33,17,1
ICC - So Cherokee Rec Center - 15,25,22,0
ICC - So Cherokee Rec Center - 16,10,14,0
ICC - So Cherokee Rec Center - 17,21,15,1
ICC - So Cherokee Rec Center - 18,21,10,0
ICC - So Cherokee Rec Center - 19,16,9,1
ICC - So Cherokee Rec Center - 20,23,8,0
ICC - So Cherokee Rec Center - 21,13,16,0
ICC - So Cherokee Rec Center - 22,12,9,2
ICC - So Cherokee Rec Center - 23,18,6,0
ICC - So Cherokee Rec Center - 24,17,10,1
ICC - So Cherokee Rec Center - 25,5,3,0
ICC - So Cherokee Rec Center - 26,14,7,0
ICC - So Cherokee Rec Center - 27,11,8,1
