Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ED-Morgan I  ICP 1 - 0,800,165
ED-Wilson  ICP 1 - 0,340,106
ED-Wilson  ICP 2 - 0,479,163
ED-Fork  ICP 1 - 0,859,175
ED-Quillians  ICP 1 - 0,556,58
ED-Gainesville IV  ICP 1 - 0,288,175
ED-Oakwood II  ICP 1 - 0,763,206
ED-Tadmore  ICP 1 - 0,451,329
ED-Gainesville III  ICP 1 - 0,328,313
ED-Morgan II  ICP 1 - 0,674,262
ED-Gillsville  ICP 1 - 0,361,34
ED-Roberts  ICP 2 - 0,495,121
ED-Roberts  ICP 1 - 0,511,97
ED-Friendship I  ICP 1 - 0,652,154
ED-Friendship I  ICP 2 - 0,651,150
ED-Bark Camp  ICP 2 - 0,466,76
ED-Bark Camp  ICP 1 - 0,625,114
ED-Gainesville I  ICP 1 - 0,505,237
ED-Chicopee  ICP 1 - 0,379,281
ED-Flowery Branch I  ICP 1 - 0,827,232
ED-Chestatee  ICP 1 - 0,839,144
ED-Friendship IV  ICP 1 - 0,437,165
ED-Gainesville II  ICP 1 - 0,44,232
ED-Clermont  ICP 1 - 0,774,58
ED-Candler  ICP 1 - 0,476,148
ED-Candler  ICP 2 - 0,439,130
ED-Whelchel  ICP 1 - 0,676,141
ICC-Absentee by Mail - 101,2,1
ICC-Absentee by Mail - 102,33,43
ICC-Absentee by Mail - 103,3,5
ICC-Provisional - 1,9,4
