Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail 4 - 328,7,43,0
ICC - Absentee By Mail 4 - 327,22,20,2
ICC - Absentee By Mail 4 - 31,22,24,0
ICC - Absentee By Mail 4 - 325,2,40,0
ICC - Absentee By Mail 4 - 324,4,45,0
ICC - Absentee By Mail 4 - 294,14,34,0
ICC - Absentee By Mail 4 - 309,27,28,1
ICC - Absentee By Mail 4 - 292,5,37,0
ICC - Absentee By Mail 4 - 296,2,53,0
ICC - Absentee By Mail 4 - 295,1,56,0
ICC - Absentee By Mail 4 - 293,25,22,0
ICC - Absentee By Mail 4 - 297,16,30,0
ICC - Absentee By Mail 4 - 291,19,27,0
ICC - Absentee By Mail 4 - 29,9,33,3
ICC - Absentee By Mail 4 - 290,8,39,0
ICC - Absentee By Mail 4 - 289,8,36,0
ICC - Absentee By Mail 4 - 288,19,30,0
ICC - Absentee By Mail 4 - 298,4,41,0
ICC - Absentee By Mail 4 - 299,24,15,1
ICC - Absentee By Mail 4 - 305,16,144,0
ICC - Absentee By Mail 4 - 306,16,121,0
ICC - Absentee By Mail 4 - 307,18,21,3
ICC - Absentee By Mail 4 - 308,10,36,0
ICC - Absentee By Mail 4 - 304,37,107,2
ICC - Absentee By Mail 4 - 303,76,225,3
ICC - Absentee By Mail 4 - 3,6,38,0
ICC - Absentee By Mail 4 - 302,2,27,0
ICC - Absentee By Mail 4 - 30,7,34,0
ICC - Absentee By Mail 4 - 301,1,33,0
ICC - Absentee By Mail 4 - 300,4,35,0
ICC - Absentee By Mail 4 - 332,10,39,0
ICC - Absentee By Mail 4 - 333,1,43,0
ICC - Absentee By Mail 4 - 366,2,22,0
ICC - Absentee By Mail 4 - 363,6,35,1
ICC - Absentee By Mail 4 - 365,1,42,0
ICC - Absentee By Mail 4 - 364,3,26,1
ICC - Absentee By Mail 4 - 367,15,27,0
ICC - Absentee By Mail 4 - 358,6,14,0
ICC - Absentee By Mail 4 - 36,4,34,0
ICC - Absentee By Mail 4 - 359,4,26,0
ICC - Absentee By Mail 4 - 361,6,42,0
ICC - Absentee By Mail 4 - 362,17,30,2
ICC - Absentee By Mail 4 - 360,1,40,0
ICC - Absentee By Mail 4 - 368,21,22,1
ICC - Absentee By Mail 4 - 369,22,27,0
ICC - Absentee By Mail 4 - 376,6,36,0
ICC - Absentee By Mail 4 - 377,9,25,2
ICC - Absentee By Mail 4 - 375,6,24,1
ICC - Absentee By Mail 4 - 378,3,37,0
ICC - Absentee By Mail 4 - 373,12,30,3
ICC - Absentee By Mail 4 - 379,2,39,0
ICC - Absentee By Mail 4 - 374,22,20,2
ICC - Absentee By Mail 4 - 371,7,24,1
ICC - Absentee By Mail 4 - 372,12,16,1
ICC - Absentee By Mail 4 - 370,1,27,0
