Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ED-Gainesville I  ICP 1 - 0,467,170,31
ED-Morgan II  ICP 1 - 0,643,218,47
ED-Friendship III  ICP 1 - 0,556,147,37
ED-Lula City ICP 1 - 0,0,0,0
ED-Lula  ICP 1 - 0,744,78,29
ED-Big Hickory  ICP 1 - 0,677,61,43
ED-Morgan I  ICP 1 - 0,777,106,61
ED-Friendship IV  ICP 1 - 0,403,90,30
ED-Gainesville V  ICP 1 - 0,158,70,12
ED-Quillians  ICP 1 - 0,555,41,30
ED-Chestatee  ICP 1 - 0,695,109,46
ED-Whelchel  ICP 1 - 0,622,125,42
ED-Friendship II  ICP 1 - 0,639,158,38
ED-Fork  ICP 1 - 0,749,122,56
ED-Gillsville  ICP 1 - 0,349,33,19
ED-Friendship I  ICP 1 - 0,621,118,31
ED-Friendship I  ICP 2 - 0,644,107,35
ED-Chicopee  ICP 1 - 0,362,259,34
ED-Roberts  ICP 1 - 0,949,197,62
ED-Clermont  ICP 1 - 0,748,45,44
ED-Gainesville II  ICP 1 - 0,74,282,5
ED-West Whelchel  ICP 1 - 0,674,120,35
ED-Bark Camp  ICP 1 - 0,481,71,35
ED-Bark Camp  ICP 2 - 0,353,62,26
ED-Wilson  ICP 2 - 0,426,142,23
ED-Wilson  ICP 1 - 0,278,74,21
ED-Gainesville III  ICP 1 - 0,348,277,28
ED-Candler  ICP 1 - 0,450,122,32
ED-Candler  ICP 2 - 0,405,114,23
ED-Flowery Branch I  ICP 1 - 0,800,176,53
ED-Oakwood II  ICP 1 - 0,782,168,50
ED-Tadmore  ICP 2 - 0,280,161,8
ED-Tadmore  ICP 1 - 0,227,176,15
ICC-Absentee by Mail - 111,5,2,0
ICC-Absentee by Mail - 112,1,9,0
ICC-Provisional - 1,10,6,0
